Date,Open,High,Close
10/31/03,9786.75,9880.08,9801.12
10/30/03,9772.01,9882.97,9786.61
10/29/03,9747.05,9830.23,9774.53
10/28/03,9609.72,9769.57,9748.31
10/27/03,9584.54,9696.98,9608.16
10/24/03,9600.98,9631.5,9582.46
10/23/03,9597.2,9661.05,9613.13
10/22/03,9741.98,9741.98,9598.24
10/21/03,9778.31,9824.9,9747.64
10/20/03,9721.5,9816.97,9777.94
10/17/03,9791.86,9833.12,9721.79
10/16/03,9798.68,9838.53,9791.72
10/15/03,9824.09,9901.64,9803.05
10/14/03,9763.27,9833.42,9812.98
10/13/03,9675.72,9814.97,9764.38
10/10/03,9682.9,9743.12,9674.68
10/9/03,9633.35,9798.08,9680.01
10/8/03,9653.33,9699.35,9630.9
10/7/03,9593.28,9672.68,9654.61
10/6/03,9572.39,9656.09,9594.98
10/3/03,9492.54,9701.87,9572.31
10/2/03,9464.76,9539.2,9487.8
10/1/03,9275.06,9472.69,9469.2
9/30/03,9378.1,9393.35,9275.06
9/29/03,9314.42,9431.54,9380.24
9/26/03,9342.43,9407.89,9313.08
9/25/03,9425.58,9493.44,9343.96
9/24/03,9575.97,9612.53,9425.51
9/23/03,9535.76,9623.34,9576.04
9/22/03,9641.8,9641.87,9535.41
9/19/03,9661.8,9719.49,9644.82
9/18/03,9544.04,9691.55,9659.13
9/17/03,9566.08,9641.45,9545.65
9/16/03,9449.16,9587.9,9567.34
9/15/03,9471.19,9541.02,9448.81
9/12/03,9456.88,9517.37,9471.55
9/11/03,9415.05,9540.6,9459.76
9/10/03,9504.88,9545.51,9420.46
9/9/03,9584.92,9617.02,9507.2
9/8/03,9503.41,9638.57,9586.29
9/5/03,9589.52,9602.22,9503.34
9/4/03,9569.09,9661.8,9587.9
9/3/03,9521.86,9632.75,9568.46
9/2/03,9416.67,9563.83,9523.27
8/29/03,9373.33,9444.25,9415.82
8/28/03,9334.35,9415.68,9374.21
8/27/03,9339.82,9387.82,9333.79
8/26/03,9316.03,9372.45,9340.45
8/25/03,9349.44,9381.51,9317.64
8/22/03,9436.04,9535.97,9348.87
8/21/03,9399.96,9517.37,9423.68
8/20/03,9420.13,9454.49,9397.51
8/19/03,9412.17,9490.6,9428.9
8/18/03,9320.66,9466.79,9412.45
8/15/03,9308.52,9360.27,9321.69
8/14/03,9272.25,9356.63,9310.56
8/13/03,9303.69,9350.19,9271.76
8/12/03,9218.12,9329.04,9310.06
8/11/03,9189.62,9275.61,9217.35
8/8/03,9127.36,9230.37,9191.09
8/7/03,9060.48,9171.13,9126.45
8/6/03,9032.96,9151.38,9061.74
8/5/03,9185.27,9210.21,9036.32
8/4/03,9154.18,9231.84,9186.04
8/1/03,9232.68,9266.37,9153.97
7/31/03,9199.35,9398.02,9233.8
7/30/03,9204.39,9272.88,9200.05
7/29/03,9268.19,9327.36,9204.46
7/28/03,9284.92,9356.77,9266.51
7/25/03,9113.85,9296.62,9284.57
7/24/03,9196.56,9313.99,9112.51
7/23/03,9159.08,9249.91,9194.24
7/22/03,9098.65,9221.83,9158.45
7/21/03,9187.8,9219.87,9096.69
7/18/03,9052.29,9212.31,9188.15
7/17/03,9089.34,9160.27,9050.82
7/16/03,9133.7,9185.63,9094.59
7/15/03,9179.18,9260.42,9128.97
7/14/03,9126.45,9316.44,9177.15
7/11/03,9036.39,9176.59,9119.59
7/10/03,9154.53,9154.53,9036.04
7/9/03,9221.9,9270.22,9156.21
7/8/03,9213.48,9281.77,9223.09
7/7/03,9073.92,9289.9,9216.79
7/3/03,9141.16,9164.48,9070.21
7/2/03,9043.54,9168.82,9142.84
7/1/03,8983.66,9068.05,9040.95
6/30/03,8990.74,9100.12,8985.44
6/27/03,9079.74,9135.91,8989.05
6/26/03,9011.06,9118.82,9079.04
6/25/03,9109.57,9195.2,9011.53
6/24/03,9071.48,9179.25,9109.85
6/23/03,9199.49,9215.32,9072.95
6/20/03,9180.93,9306.36,9200.75
6/19/03,9293.8,9346.34,9179.53
6/18/03,9322.67,9363.15,9293.8
6/17/03,9319.66,9406.5,9323.02
6/16/03,9117.56,9335.49,9318.96
6/13/03,9197.88,9234.23,9117.12
6/12/03,9184.29,9270.64,9196.55
6/11/03,9048.85,9202.08,9183.22
6/10/03,8980.79,9111.11,9054.89
6/9/03,9061.18,9109.43,8980
6/6/03,9045.57,9248.71,9062.79
6/5/03,9036.67,9106.7,9041.3
6/4/03,8919.94,9076.94,9038.98
6/3/03,8898.23,8973.02,8922.95
6/2/03,8851.45,9040.46,8897.81
5/30/03,8711.46,8897.04,8850.26
5/29/03,8787.23,8895.99,8711.18
5/28/03,8781.84,8885.34,8793.12
5/27/03,8600.54,8812.3,8781.35
5/23/03,8594.02,8668.47,8601.38
5/22/03,8516.99,8650.33,8594.02
5/21/03,8485.62,8577.64,8516.43
5/20/03,8494.09,8593.61,8491.36
5/19/03,8676.52,8676.52,8493.39
5/16/03,8710.36,8766.36,8678.97
5/15/03,8649.22,8766.58,8713.14
5/14/03,8673.29,8744.94,8647.82
5/13/03,8722.88,8757.4,8679.25
5/12/03,8603.9,8764.12,8726.73
5/9/03,8492.69,8637.58,8604.6
5/8/03,8558.67,8591.01,8491.22
5/7/03,8585.42,8650.82,8560.63
5/6/03,8531.28,8658.18,8588.36
5/5/03,8583.17,8643.11,8531.57
5/2/03,8453.48,8612.86,8582.68
5/1/03,8478.48,8519.09,8454.25
4/30/03,8501.38,8557.62,8480.09
4/29/03,8472.88,8578.55,8502.99
4/28/03,8306.84,8515.8,8471.61
4/25/03,8438.98,8453.06,8306.35
4/24/03,8512.44,8527.99,8440.04
4/23/03,8484.92,8587.72,8515.66
4/22/03,8326.38,8509.43,8484.99
4/21/03,8336.67,8423.09,8328.9
4/17/03,8255.79,8388.28,8337.65
4/16/03,8405.72,8459.15,8257.61
4/15/03,8347.66,8443.11,8402.36
4/14/03,8203.97,8375.19,8351.1
4/11/03,8223.22,8360.76,8203.41
4/10/03,8198.99,8274.56,8221.33
4/9/03,8299.28,8404.25,8197.94
4/8/03,8299.12,8382.43,8298.92
4/7/03,8284.15,8550.4,8300.41
4/4/03,8240.59,8348.29,8277.15
4/3/03,8285.76,8378.76,8240.38
4/2/03,8070.98,8342.27,8285.06
4/1/03,7992.83,8133.03,8069.86
3/31/03,8142.83,8142.83,7992.13
3/28/03,8198.85,8224.83,8145.77
3/27/03,8226.39,8272.03,8201.45
3/26/03,8279.88,8323.01,8229.88
3/25/03,8216.85,8355.93,8280.23
3/24/03,8514.82,8514.82,8214.68
3/21/03,8290.38,8552.08,8521.97
3/20/03,8264.68,8335.2,8286.6
3/19/03,8193.04,8304.04,8265.45
3/18/03,8142.69,8253.48,8194.23
3/17/03,7857.96,8163.56,8141.92
3/14/03,7822.17,7961.6,7859.71
3/13/03,7555.29,7847.03,7821.75
3/12/03,7517.76,7582.96,7552.07
3/11/03,7568.53,7673.98,7524.06
3/10/03,7739.4,7739.4,7568.18
3/7/03,7671.75,7780.57,7740.03
3/6/03,7774.76,7795.07,7673.99
3/5/03,7702.35,7801.79,7775.6
3/4/03,7838.14,7859.08,7704.87
3/3/03,7890.24,7997.66,7837.86
2/28/03,7886.11,7987.8,7891.08
2/27/03,7807.96,7950.46,7884.99
2/26/03,7907.39,7944.93,7806.98
2/25/03,7856.42,7931.14,7909.5
2/24/03,8017.34,8017.34,7858.24
2/21/03,7915.52,8055.79,8018.11
2/20/03,8002.7,8051.37,7914.96
2/19/03,8033.8,8079.11,8000.6
2/18/03,7909.3,8114.82,8041.15
2/14/03,7750.9,7936.56,7908.8
2/13/03,7756.55,7817.88,7749.87
2/12/03,7836.36,7892.96,7758.17
2/11/03,7920.93,8010.89,7843.11
2/10/03,7865.74,7963.03,7920.11
2/7/03,7932.45,8019.46,7864.23
2/6/03,7981.95,8031.66,7929.3
2/5/03,8014.45,8162.96,7985.18
2/4/03,8104.61,8104.61,8013.29
2/3/03,8053.74,8189.35,8109.82
1/31/03,7939.72,8121.37,8053.81
1/30/03,8109.14,8169.81,7945.13
1/29/03,8087.95,8173.31,8110.71
1/28/03,7991.07,8153.36,8088.84
1/27/03,8128.54,8167.41,7989.56
1/24/03,8367.89,8367.89,8131.01
1/23/03,8320.72,8437.69,8369.47
1/22/03,8439.54,8493.5,8318.73
1/21/03,8586.26,8650.43,8442.9
1/17/03,8695.82,8695.82,8586.74
1/16/03,8721.12,8837.47,8697.87
1/15/03,8843.64,8865.65,8723.18
1/14/03,8787.22,8865.41,8842.62
1/13/03,8787.83,8896.09,8785.98
1/10/03,8776.04,8846.25,8784.89
1/9/03,8596.68,8814.09,8776.18
1/8/03,8735.93,8749.44,8595.31
1/7/03,8775.84,8843.37,8740.59
1/6/03,8602.78,8826.71,8773.57
1/3/03,8607.38,8669.91,8601.69
1/2/03,8342.38,8633.02,8607.52
12/31/02,8332.24,8400.46,8341.63
12/30/02,8304.06,8405.67,8332.85
12/27/02,8429.28,8470.05,8303.78
12/26/02,8448.86,8587.98,8432.61
12/24/02,8491.99,8522.98,8448.11
12/23/02,8511.39,8573.92,8493.29
12/20/02,8367.41,8557.47,8511.32
12/19/02,8441.94,8530.25,8364.8
12/18/02,8531.31,8553.76,8447.35
12/17/02,8626.99,8672.38,8535.39
12/16/02,8436.59,8649.06,8627.4
12/13/02,8536.07,8563.16,8433.71
12/12/02,8590.99,8662.71,8538.4
12/11/02,8571.52,8669.91,8589.14
12/10/02,8473.61,8624.93,8574.26
12/9/02,8643.99,8643.99,8473.41
12/6/02,8620.88,8707.21,8645.77
12/5/02,8740.66,8796.68,8623.28
12/4/02,8734.22,8834.04,8737.85
12/3/02,8861.13,8882.04,8742.93
12/2/02,8902.95,9076.35,8862.57
11/29/02,8933.67,8995.78,8896.09
11/27/02,8678.96,8975.08,8931.68
11/26/02,8844.12,8845.01,8676.42
11/25/02,8804.97,8918.03,8849.4
11/22/02,8842.41,8944.16,8804.84
11/21/02,8625.48,8910.83,8845.15
11/20/02,8469.57,8675.12,8623.01
11/19/02,8484.93,8566.45,8474.78
11/18/02,8579.74,8671.41,8486.57
11/15/02,8535.64,8622.3,8579.09
11/14/02,8403.69,8596.5,8542.13
11/13/02,8380.32,8523.47,8398.49
11/12/02,8356.73,8557.25,8386
11/11/02,8535.81,8541.09,8358.95
11/8/02,8585.75,8688.96,8537.13
11/7/02,8766.08,8766.08,8586.24
11/6/02,8677.17,8841.61,8771.01
11/5/02,8568.76,8730.92,8678.27
11/4/02,8521.6,8787.3,8571.6
11/1/02,8395.64,8569.24,8517.64
10/31/02,8427.34,8538.17,8397.03
10/30/02,8363.95,8502.32,8427.41
10/29/02,8367.28,8456.19,8368.94
10/28/02,8448.98,8601.01,8368.04
10/25/02,8317.48,8474.92,8443.99
10/24/02,8495.38,8607.04,8317.34
10/23/02,8448.56,8546.57,8494.27
10/22/02,8534.08,8543.65,8450.16
10/21/02,8320.74,8580.13,8538.24
10/18/02,8287.72,8383.16,8322.4
10/17/02,8038.31,8395.99,8275.04
10/16/02,8232.1,8232.1,8036.03
10/15/02,7883.23,8304.58,8255.68
10/14/02,7848.21,7948.91,7877.4
10/11/02,7540.74,7919.57,7850.29
10/10/02,7286.34,7588.25,7533.95
10/9/02,7499.96,7500.03,7286.27
10/8/02,7425.82,7680.57,7501.49
10/7/02,7528.68,7685.42,7422.84
10/4/02,7719.34,7817.06,7528.4
10/3/02,7753.46,7943.64,7717.19
10/2/02,7936.57,7996.77,7755.61
10/1/02,7593.04,7964.24,7938.79
9/30/02,7698.81,7729.53,7591.93
9/27/02,7996.01,7997.12,7701.45
9/26/02,7844.62,8086.86,7997.12
9/25/02,7687.16,7939.9,7841.82
9/24/02,7871.23,7893.36,7683.13
9/23/02,7984.77,7984.77,7872.15
9/20/02,7945.93,8081.04,7986.02
9/19/02,8170.65,8170.65,7942.39
9/18/02,8203.07,8283.49,8172.45
9/17/02,8386.35,8508.61,8207.55
9/16/02,8311.79,8435.04,8380.18
9/13/02,8377.68,8414.79,8312.69
9/12/02,8574.94,8574.94,8379.41
9/11/02,8604.27,8767.82,8581.17
9/10/02,8520.14,8660.94,8602.61
9/9/02,8425.88,8584.3,8519.38
9/6/02,8296.46,8526.8,8427.2
9/5/02,8420.2,8420.2,8283.7
9/4/02,8308.53,8495.03,8425.12
9/3/02,8659.27,8659.27,8308.05
8/30/02,8669.26,8811.72,8663.5
8/29/02,8690.69,8769.34,8670.99
8/28/02,8823.93,8832.18,8694.09
8/27/02,8917.49,9040.04,8824.41
8/26/02,8873.93,8981.23,8919.01
8/23/02,9051.49,9051.49,8872.96
8/22/02,8961.18,9129.1,9053.64
8/21/02,8866.14,9033.52,8957.23
8/20/02,8986.5,8989.69,8872.07
8/19/02,8777.09,9037.38,8990.79
8/16/02,8813.07,8899.42,8778.06
8/15/02,8745.04,8914.37,8818.14
8/14/02,8479.14,8778.89,8743.31
8/13/02,8683.15,8801.87,8482.39
8/12/02,8741.92,8753.14,8688.89
8/9/02,8707.24,8824.92,8745.45
8/8/02,8456.29,8755.7,8712.02
8/7/02,8282.25,8520.95,8456.15
8/6/02,8049.93,8472.28,8274.09
8/5/02,8312.92,8371,8043.63
8/2/02,8504.96,8566.36,8313.13
8/1/02,8732.58,8758.4,8506.62
7/31/02,8678.65,8793.36,8736.59
7/30/02,8707.03,8806.86,8680.03
7/29/02,8267.99,8749.12,8711.88
7/26/02,8192.61,8350.1,8264.39
7/25/02,8185.89,8390.39,8186.31
7/24/02,7698.46,8243.07,8191.29
7/23/02,7785.55,8007.91,7702.34
7/22/02,8015.04,8173.08,7784.58
7/19/02,8356.74,8356.74,8019.26
7/18/02,8540.47,8683.84,8409.49
7/17/02,8476.21,8765.39,8542.48
7/16/02,8635.31,8697.69,8473.11
7/15/02,8681.28,8720.18,8639.19
7/12/02,8805.33,8903,8684.53
7/11/02,8812.12,8937.87,8801.53
7/10/02,9098.16,9188.71,8813.5
